UserID	post.view	post.submit	photo.submit	comment.view	comment.submit	search	gps.on	Result
1							1	No
2							1	No
3							1	No
4							1	No
5							1	No
6							1	No
7							1	No
8							1	No
9							1	No
10							1	No
11							1	No
12							1	No
13							1	No
14							1	No
15							1	No
16							1	No
17							1	No
18							1	No
19							1	No
20							1	No
21							1	No
22							1	No
23							1	No
24							1	No
25							1	No
26							1	No
27							1	No
28							1	No
29							1	No
30							1	No
31							1	No
32							1	No
33							1	No
34							1	No
35							1	No
36								No
37								No
38								No
39								No
40								No
41								No
42								No
43								No
44								No
45								No
46								No
47								No
48								No
49								No
50								No
51								No
52								No
53								No
54								No
55								No
56								No
57								No
58								No
59								No
60								No
61								No
62								No
63								No
64								No
65								No
66								No
67								No
68								No
69								No
70								No
71								No
72								No
73								No
74								No
75								No
76								No
77								No
78								No
79								No
80								No
81								No
82								No
83								No
84								No
85								No
86								No
87								No
88								No
89								No
90								No
91								No
92								No
93								No
94								No
95								No
96								No
97								No
98								No
99								No
100								No
101								No
102								No
103								No
104								No
105								No
106								No
107								No
108								No
109								No
110								No
111								No
112								No
113								No
114								No
115								No
116								No
117								No
118								No
119								No
120								No
121								No
122								No
123								No
124								No
125								No
126								No
127								No
128								No
129								No
130								No
131								No
132								No
133								No
134								No
135								No
136								No
137								No
138								No
139								No
140								No
141								No
142								No
143								No
144								No
145								No
146								No
147								No
148								No
149								No
150								No
151								No
152								No
153								No
154								No
155								No
156								No
157								No
158								No
159								No
160								No
161								No
162								No
163								No
164								No
165								No
166								No
167								No
168								No
169								No
170								No
171				1				No
172				1				No
173				1				No
174				1				No
175				1				No
176				1				No
177				1				No
178				1				No
179				1				No
180				1				No
181				1				No
182				1				No
183				1				No
184				1				No
185				1				No
186				1				No
187				1				No
188				1				No
189				1				No
190				1				No
191				1				No
192				1				No
193				1				No
194				1				No
195				1				No
196				1				No
197				1				No
198				1				No
199				1				No
200				1				No
201				1				No
202				1				No
203				1				No
204				1				No
205				1				No
206				1				No
207				1				No
208				1				No
209				1				No
210				1				No
211				1				No
212				1				No
213				1				No
214				1				No
215				1				No
216				1				No
217				1				No
218				1				No
219				1				No
220				1				No
221				1				No
222				1				No
223				1				No
224				1				No
225				1				No
226				1				No
227				1				No
228				1				No
229				1				No
230				1				No
231				1				No
232				1				No
233				1				No
234				1				No
235				1				No
236				1				No
237				1				No
238				1				No
239				1				No
240				1				No
241				1				No
242				1				No
243				1				No
244				1				No
245				1				No
246				1				No
247				1				No
248				1				No
249				1				No
250				1				No
251				1				No
252				1				No
253				1				No
254				1				No
255				1				No
256				1				No
257				1				No
258				1				No
259				1				No
260				1				No
261				1				No
262				1				No
263				1				No
264				1				No
265				1				No
266				1				No
267				1				No
268				1				No
269				1				No
270				1				No
271				1				No
272				1				No
273				1				No
274				1				No
275				1				No
276				1				No
277				1				No
278				1				No
279				1				No
280				1				No
281				1				No
282				1				No
283				1				No
284				1				No
285				1				No
286				1				No
287				1				No
288				1				No
289				1				No
290				1				No
291				1				No
292				1				No
293				1				No
294				1				No
295				1				No
296				1				No
297				1				No
298				1				No
299				1				No
300				1				No
301				1				No
302				1				No
303				1				No
304				1				No
305				1				No
306				1				No
307				1				No
308				1				No
309				1				No
310				1				No
311				1				No
312				1				No
313				1				No
314				1				No
315				1				No
316				1				No
317				1				No
318				1				No
319				1				No
320				1				No
321				1				No
322				1				No
323				1				No
324				1				No
325	1							No
326	1							No
327	1							No
328	1							No
329	1							No
330	1							No
331	1							No
332	1							No
333	1							No
334	1							No
335	1							No
336	1							No
337	1							No
338	1							No
339	1							No
340	1							No
341	1							No
342	1							No
343	1							No
344	1							No
345	1							No
346	1							No
347	1							No
348	1							No
349	1							No
350	1							No
351	1							No
352	1							No
353	1							No
354	1							No
355	1							No
356	1							No
357	1							No
358	1							No
359	1							No
360	1							No
361	1							No
362	1							No
363	1							No
364	1							No
365	1							No
366	1							No
367	1							No
368	1							No
369	1							No
370	1							No
371	1							No
372	1							No
373	1							No
374	1							No
375	1							No
376	1							No
377	1							No
378	1							No
379	1							No
380	1							No
381	1							No
382	1							No
383	1							No
384	1							No
385	1							No
386	1							No
387	1							No
388	1							No
389	1							No
390	1							No
391	1							No
392	1							No
393	1							No
394	1							No
395	1							No
396	1							No
397	1							No
398	1							No
399	1							No
400	1							No
401	1							No
402	1							No
403	1							No
404	1							No
405	1							No
406	1							No
407	1							No
408	1							No
409	1							No
410	1							No
411	1							No
412	1							No
413	1							No
414	1							No
415	1							No
416	1							No
417	1							No
418	1							No
419	1							No
420	1							No
421	1							No
422	1							No
423	1							No
424	1							No
425	1							No
426	1							No
427	1							No
428	1							No
429	1							No
430	1							No
431	1							No
432	1							No
433	1							No
434	1							No
435	1							No
436	1							No
437	1							No
438	1							No
439	1							No
440	1							No
441	1							No
442	1							No
443	1							No
444	1							No
445	1							No
446	1							No
447	1							No
448	1							No
449	1							No
450	1							No
451	1							No
452	1							No
453	1							No
454	1							No
455	1							No
456	1							No
457	1							No
458	1							No
459	1							No
460	1							No
461	1							No
462	1							No
463	1							No
464	1							No
465	1							No
466	1							No
467	1							No
468	1							No
469	1							No
470	1							No
471	1							No
472	1							No
473	1							No
474	1							No
475	1							No
476	1							No
477	1							No
478	1							No
479	1							No
480	1							No
481	1							No
482	1							No
483	1							No
484	1							No
485	1							No
486	1							No
487	1							No
488	1							No
489	1							No
490	1							No
491	1							No
492	1							No
493	1							No
494	1							No
495	1							No
496	1							No
497	1							No
498	1							No
499	1							No
500	1							No
501	1							No
502	1							No
503	1							No
504	1							No
505	1							No
506	1							No
507	1							No
508	1							No
509	1							No
510	1							No
511	1							No
512	1							No
513	1							No
514	1							No
515	1							No
516	1							No
517	1							No
518	1							No
519	1							No
520	1							No
521	1							No
522	1							No
523	1							No
524	1							No
525	1							No
526	1							No
527	1							No
528	1							No
529	1							No
530	1							No
531	1							No
532	1							No
533	1							No
534	1							No
535	1							No
536	1							No
537	1							No
538	1							No
539	1							No
540	1							No
541	1							No
542	1							No
543	1							No
544	1							No
545	1							No
546	1							No
547	1							No
548	1							No
549	1							No
550	1							No
551	1							No
552	1							No
553	1							No
554	1							No
555	1							No
556	1							No
557	1							No
558	1							No
559	1							No
560	1							No
561	1							No
562	1							No
563	1							No
564	1							No
565	1							No
566	1							No
567	1							No
568	1							No
569	1							No
570	1							No
571	1							No
572	1							No
573	1							No
574	1							No
575	1							No
576	1							No
577	1							No
578	1							No
579	1							No
580	1							No
581	1							No
582	1							No
583	1							No
584	1							No
585	1							No
586	1							No
587	1							No
588	1							No
589	1							No
590	1							No
591	1							No
592	1							No
593	1							No
594	1							No
595	1							No
596	1							No
597	1							No
598	1							No
599	1							No
600	1							No
601	1							No
602	1							No
603	1							No
604	1							No
605	1							No
606	1							No
607	1							No
608	1							No
609	1							No
610	1							No
611	1							No
612	1							No
613	1							No
614	1							No
615	1							No
616	1							No
617	1							No
618	1							No
619	1							No
620	1							No
621	1							No
622	1							No
623	1							No
624	1							No
625	1							No
626	1							No
627	1							No
628	1							No
629	1							No
630	1							No
631	1							No
632	1							No
633	1							No
634	1							No
635	1							No
636	1							No
637	1							No
638	1							No
639	1							No
640	1							No
641	1							No
642	1							No
643	1							No
644	1							No
645	1							No
646	1							No
647	1							No
648	1							No
649	1							No
650	1							No
651	1							No
652	1							No
653	1							No
654	1							No
655	1							No
656	1							No
657	1							No
658	1							No
659	1							No
660	1							No
661	1							No
662	1							No
663	1							No
664	1							No
665	1							No
666	1							No
667	1							No
668	1							No
669	1							No
670	1							No
671	1							No
672	1							No
673	1							No
674	1							No
675	1							No
676	1							No
677	1							No
678	1							No
679	1							No
680	1							No
681	1							No
682	1							No
683	1							No
684	1							No
685	1							No
686	1							No
687	1							No
688	1							No
689	1							No
690	1							No
691	1							No
692	1							No
693	1							No
694	1							No
695	1							No
696	1							No
697	1							No
698	1							No
699	1							No
700	1							No
701	1							No
702	1							No
703	1							No
704	1							No
705	1							No
706	1							No
707	1							No
708	1							No
709	1							No
710	1							No
711	1							No
712								No
713								No
714								No
715								No
716								No
717								No
718								No
719								No
720								No
721								No
722								No
723								No
724								No
725								No
726								No
727								No
728								No
729								No
730								No
731								No
732								No
733								No
734								No
735								No
736								No
737								No
738								No
739								No
740								No
741								No
742								No
743								No
744								No
745								No
746								No
747								No
748								No
749								No
750								No
751								No
752								No
753								No
754								No
755								No
756								No
757								No
758								No
759								No
760								No
761								No
762								No
763								No
764								No
765								No
766								No
767								No
768								No
769								No
770								No
771								No
772								No
773								No
774								No
775								No
776								No
777								No
778								No
779								No
780								No
781								No
782								No
783								No
784								No
785								No
786								No
787								No
788								No
789								No
790								No
791								No
792								No
793								No
794								No
795								No
796								No
797								No
798								No
799								No
800								No
801								No
802								No
803								No
804								No
805								No
806								No
807								No
808								No
809								No
810								No
811								No
812								No
813								No
814								No
815								No
816								No
817								No
818								No
819								No
820								No
821								No
822								No
823								No
824								No
825								No
826								No
827								No
828								No
829								No
830								No
831								No
832								No
833								No
834								No
835								No
836								No
837								No
838								No
839								No
840								No
841								No
842								No
843								No
844								No
845								No
846								No
847								No
848								No
849								No
850								No
851								No
852								No
853								No
854								No
855								No
856								No
857								No
858								No
859								No
860								No
861								No
862								No
863								No
864								No
865								No
866								No
867								No
868								No
869								No
870								No
871								No
872								No
873								No
874								No
875								No
876								No
877								No
878								No
879								No
880								No
881								No
882								No
883								No
884								No
885								No
886								No
887								No
888								No
889								No
890								No
891								No
892								No
893								No
894								No
895								No
896								No
897								No
898								No
899								No
900								No
901								No
902								No
903								No
904								No
905								No
906								No
907								No
908								No
909								No
910								No
911								No
912								No
913								No
914								No
915								No
916								No
917								No
918								No
919								No
920								No
921								No
922								No
923								No
924								No
925								No
926								No
927								No
928								No
929								No
930								No
931								No
932								No
933								No
934								No
935								No
936								No
937								No
938								No
939								No
940								No
941								No
942								No
943								No
944								No
945								No
946								No
947								No
948								No
949								No
950								No
951								No
952								No
953								No
954								No
955								No
956								No
957								No
958								No
959								No
960								No
961								No
962								No
963								No
