d1,d2,d3,d4
11.4116977472064,17.2186164965953,15,20
10.8382605692514,16.444008791852,10,20
7.93596151324559,5.41226313231308,8,20
8.37598205825365,13.8207282000512,6,20
10.0292717131863,0.301879645194654,13,20
9.14284051574639,14.6430543159287,13,20
7.85117787409089,4.76862502772864,11,20
12.6455672804603,14.4377771976863,14,0
10.2203680655839,16.3364567531174,13,20
9.37922900993672,11.5638386020695,10,20
12.0263201992847,17.2186164965953,10,20
10.5557595190491,16.444008791852,10,20
9.89997103828237,5.41226313231308,15,20
11.0238021738733,13.8207282000512,13,0
10.5265610451401,0.301879645194654,11,0
11.5100389526332,14.6430543159287,5,20
11.1259756501633,4.76862502772864,10,0
10.1499215756275,14.4377771976863,11,0
11.0423402191516,16.3364567531174,5,0
7.5913144043088,11.5638386020695,8,0
9.42510306798515,17.2186164965953,12,20
11.7519949513411,16.444008791852,13,0
10.812192687314,5.41226313231308,11,0
9.08148253007557,13.8207282000512,12,20
10.2600547822435,0.301879645194654,16,0
10.554760170017,14.6430543159287,8,0
11.1754439718606,4.76862502772864,11,0
8.48214392180734,14.4377771976863,9,0
7.84583571494015,16.3364567531174,13,20
9.87936198522199,11.5638386020695,8,20
8.61661870973289,17.2186164965953,8,20
11.2243574636855,16.444008791852,8,0
9.64519690155023,5.41226313231308,8,0
8.28931222971033,13.8207282000512,13,0
11.0707921016653,0.301879645194654,8,0
11.9921302940272,14.6430543159287,9,0
11.4122899717774,4.76862502772864,8,20
10.016089798216,14.4377771976863,13,0
11.5159772797244,16.3364567531174,13,20
9.24555316083889,11.5638386020695,4,0
8.04049336108484,17.2186164965953,7,0
11.1372410844282,16.444008791852,15,20
13.789374174846,5.41226313231308,15,0
14.6280046714731,13.8207282000512,10,20
11.0090512859339,0.301879645194654,15,0
8.53994425208873,14.6430543159287,9,20
10.8953397448148,4.76862502772864,19,20
10.2845678752972,14.4377771976863,14,0
7.47577580533085,16.3364567531174,10,20
11.6820250110923,11.5638386020695,9,0
8.27193810502641,17.2186164965953,8,0
11.1237549678248,16.444008791852,12,0
7.0664788946134,5.41226313231308,6,20
14.0131215662677,13.8207282000512,12,0
11.1532355981974,0.301879645194654,8,0
13.1503931024972,14.6430543159287,8,20
10.4272239763677,4.76862502772864,8,20
12.5819931240712,14.4377771976863,14,20
10.7012109067052,16.3364567531174,6,0
3.63241194694771,11.5638386020695,17,0
10.3339920939655,17.2186164965953,9,20
13.7615144285885,16.444008791852,10,0
10.6355749970774,5.41226313231308,13,0
14.1811734678873,13.8207282000512,13,0
10.6977911887962,0.301879645194654,11,0
8.40345370017829,14.6430543159287,6,0
8.29731161809121,4.76862502772864,8,0
9.14937660343486,14.4377771976863,11,20
14.8810803836622,16.3364567531174,6,0
10.94148872812,11.5638386020695,4,0
10.0661209844065,17.2186164965953,11,20
10.3563180335247,16.444008791852,10,20
10.2593428260232,5.41226313231308,6,20
8.58127418946924,13.8207282000512,7,0
10.0744963007192,0.301879645194654,7,20
9.61957900137092,14.6430543159287,14,0
9.45290822569801,4.76862502772864,12,20
8.39716565574843,14.4377771976863,10,20
10.8220463447228,16.3364567531174,9,0
5.83260505802811,11.5638386020695,6,20
11.4582068927978,17.2186164965953,6,20
7.84370360407507,16.444008791852,8,20
15.5815961229511,5.41226313231308,11,20
7.23850499268869,13.8207282000512,11,20
9.71816649473202,0.301879645194654,9,20
7.44757877216988,14.6430543159287,9,20
10.8348093035125,4.76862502772864,11,20
8.53819703739004,14.4377771976863,8,20
8.39440028604363,16.3364567531174,11,0
11.8307042508425,11.5638386020695,11,0
