cv	ad1	ad2	ad3
202.733835173023	0	0	0
118.157693860605	0	0	0
162.092079563053	0	0	0
166.701920535398	0	0	0
81.9372323782486	0	0	0
145.645996169585	0	0	0
218.047622933118	0	0	0
111.569840558595	0	0	0
108.982770229239	0	0	0
181.622668721921	0	0	0
170.118661735549	0	0	0
182.241967179655	0	0	0
214.988333350031	0	38.4458833834919	0
220.008512518929	0	32.5703900400111	0
187.832067053771	0	36.3258150617589	0
214.726443244429	0	37.0349732460787	0
198.350066976104	0	34.4391862948382	0
207.358784176077	0	38.8384140420104	0
265.011315878175	0	38.7112735215568	0
172.358404269198	0	31.6846196400987	0
258.224621609201	0	34.3128957257655	0
273.513383106615	0	36.3287770145402	0
285.895792017555	0	34.2301507937799	0
254.47671903879	0	39.8079460490047	0
218.194916309215	0	37.249331688829	0
270.41168806972	0	40.080338633875	0
202.092911596428	0	0	0
149.823309546263	0	0	0
200.397069804804	0	0	49.6022937721082
204.436339327983	0	0	49.6537553667385
231.133904791252	0	0	46.0479020642166
208.2779793734	0	0	47.3078146006068
244.262163833847	0	0	51.866254599103
292.972939577292	0	0	46.1337530222426
218.150096790301	0	0	53.5406354369246
261.911715106294	0	0	48.8937596739025
245.760823980937	0	0	52.4286800561682
312.285629965584	0	0	49.8452361100261
271.893057029937	0	0	50.6296899784397
217.509102095204	0	0	47.7323875838989
338.962028020049	0	0	53.2738991447006
216.266167064135	0	0	52.8510877811901
204.230470265355	0	0	0
281.269286068558	0	0	0
277.838899048208	0	0	0
405.750891489784	0	0	0
372.019116472932	0	52.4423954896584	0
305.67806219798	0	51.2131352978981	0
416.922279603465	0	49.8235376921503	0
443.312249569711	0	53.7745727551566	0
520.239220991301	52.1682489596667	53.9456528303624	0
542.348078776776	52.7251944592829	53.192285774234	0
563.463236933519	47.5059894190586	47.2705717893278	0
469.257609100414	46.8340216084198	51.11797422327	0
512.992801891863	50.2463686247042	46.8312964978952	0
600.79630808184	49.8419101348782	54.8728051758502	0
496.583914167585	51.0644202351265	52.0821901388269	0
548.791230136407	50.9814982233136	48.0412630300082	0
572.957478461303	50.8574285513943	47.1511800931059	0
484.791399523774	44.600226721088	52.7340429081391	0
458.817323724067	46.6642508163146	0	0
444.251697946153	45.9578184322514	0	0
522.889847839299	47.1939751870169	0	0
519.340780541946	50.8376018421004	0	38.328023261757
487.547413151051	0	0	40.6140937340313
503.944096270074	0	0	38.9883007644043
464.039645515863	0	0	35.2540902264753
417.835756141882	0	0	37.3822914399067
466.824478603433	0	0	38.546678729441
398.443128965317	0	0	38.6674613126058
522.095866679342	0	0	42.2938320081513
469.042496639682	0	0	41.6743535553129
541.891535299813	0	0	36.2288954510185
454.438991710123	0	0	36.1392969634461
604.792483294609	0	0	40.3758514440153
502.64221133985	0	0	36.9025586585454
579.064030508588	0	0	43.0539764136069
575.791253805456	0	0	0
520.760694656236	0	0	0
472.290439608537	0	0	0
455.858387051672	0	0	0
512.636434572895	0	0	0
578.131326304002	0	0	0
593.160973727385	0	0	0
508.040264094669	0	0	0
442.818212745276	0	0	0
648.044536423191	40.0761149744178	0	0
627.473488614568	40.657436739597	0	0
564.012914868892	42.4711371570028	0	0
682.0082758511	36.9715599076862	0	0
611.879283744862	36.3594514458068	0	0
631.384537508329	41.7938497736288	0	0
568.844729806888	42.2093766652122	0	0
598.861990342442	39.3609748629952	0	0
563.665514065663	39.66399272026	0	0
593.553375100692	39.3789935805377	0	0
582.850647056671	38.6207595317672	0	0
560.062801917629	39.1991055800888	0	0
543.493034473245	43.3915737095231	0	0
627.736007358915	43.0534898920375	0	0
