DB1 DB2
0.947729268006935 2.4656924562443
1.40468235799902 2.13202184648319
1.40643910655374 2.59980435984257
1.83966692505459 2.36618385652531
1.3265343173776 1.8049034788901
2.31148978174699 2.4490274562554
1.31780148412349 3.10659688534134
2.01206522793282 2.1059546957434
0.717746642622845 1.62942471302952
1.9970130946748 1.95492940633643
1.8620700086369 2.46465582830436
1.01781068438952 1.98388625357421
2.94970593132825 2.40677794913742
1.72460674615795 2.49856465693566
0.790845075094531 2.45256970273634
